japanese,pronounce,english
教わる,おそわる,to be taught
局,きょく,"① channel (i.e. TV or radio), station, department ② affair, situation"
曲,きょく,"tune, piece of music"
曲げる,まげる,"to bend, to crook, to lean, to yield (a point), to depart (from a principle)"
曲線,きょくせん,curve
区分,くぶん,"division, section, demarcation, partition, segmentation, subdivision, (traffic) lane, compartment, classification, sorting"
苦情,くじょう,"complaint, troubles, objection, grievance"
空想,くうそう,"daydream, fantasy, fancy, vision"
形式,けいしき,"① form (as opposed to substance), formality ② method, system, style ③ format, mode, appearance, form (something takes) ④ math expression"
見直す,みなおす,"to look again, to get a better opinion of"
見当,けんとう,"aim, mark, estimate, guess, approximation, direction"
原,はら,"field, plain, prairie, tundra, moor, wilderness"
原始,げんし,"origin, primeval"
原理,げんり,"principle, theory, fundamental truth"
原料,げんりょう,raw materials
語学,ごがく,language study
交流,こうりゅう,"① intercourse, (cultural) exchange, intermingling ② alternating current, AC"
光線,こうせん,"beam, light ray"
公式,こうしき,"① formality, formal, official ② formula"
公表,こうひょう,"official announcement, proclamation"
口実,こうじつ,"excuse, pretext"
校,こう,"① school ② proof (of a book, document, etc.), counter for proofs"
行列,ぎょうれつ,"① line, procession ② matrix"
高等,こうとう,"high class, high grade"
合同,ごうどう,"combination, incorporation, union, amalgamation, fusion, congruence"
合流,ごうりゅう,"confluence, union, linking up, merge, recombining"
国語,こくご,① Japanese (language) ② national language ③ native Japanese words (as opposed to loanwords)
混合,こんごう,"① mixing, mixture, meld ② miscegenation"
作曲,さっきょく,"composition, setting (of music)"
参考,さんこう,"reference, consultation"
算数,さんすう,arithmetic
指定,してい,"designation, specification, assignment, appointment, pointing at"
留まる,とまる,"① to stop, to halt ② to remain, to abide, to stay (in the one place) ③ to come to a halt ④ to be limited to"
留める,とめる,"① to stop (something or someone), to turn off ② to concentrate on, to pay attention to ③ to remember, to bear in mind ④ to fix into place ⑤ to park, to leave somewhere for a time"
寺院,じいん,temple
持参,じさん,"bringing, taking, carrying"
時速,じそく,speed (per hour)
次いで,ついで,"next, secondly, subsequently"
次ぐ,つぐ,"to rank next to, to come after"
実る,みのる,"to bear fruit, to ripen"
実感,じっかん,"feelings (actual, true)"
実習,じっしゅう,"practice, practise, training (esp. practical and hands-on), drill"
実物,じつぶつ,"real thing, original, actual"
実用,じつよう,"practical use, utility"
実力,じつりょく,"① (real) ability, true strength, merit, efficiency, competency ② arms, force"
実例,じつれい,"example, illustration, precedent"
弱点,じゃくてん,"weak point, weakness"
主語,しゅご,subject
主役,しゅやく,"leading part, leading actor (actress)"
取り入れる,とりいれる,"① to harvest, to reap ② to take in, to gather in ③ to adopt"
手首,てくび,wrist
受験,じゅけん,taking an examination
終点,しゅうてん,"terminus, last stop (e.g. train)"
集合,しゅうごう,"① gathering, assembly, meeting ② set"
重点,じゅうてん,"important point, lay stress on, colon, emphasis"
重量,じゅうりょう,① weight ② heavyweight boxer
出勤,しゅっきん,"going to work, at work"
商業,しょうぎょう,"commerce, trade, business"
商社,しょうしゃ,"trading company, firm"
商店,しょうてん,"shop, small store, business, firm"
少数,しょうすう,"minority, few"
消化,しょうか,"① digestion ② thorough understanding ③ selling accumulated (excess) products, dealing with a large amount of work ④ losing one's form and turning into something else"
消防,しょうぼう,"fire fighting, fire department"
乗車,じょうしゃ,"taking a train, bus, etc., entraining"
心身,しんしん,mind and body
森林,しんりん,"forest, woods"
深まる,ふかまる,"to deepen, to heighten, to intensify"
深夜,しんや,late at night
真っ暗,まっくら,"① total darkness, pitch dark ② bleak future, poor prospects"
神様,かみさま,God
神話,しんわ,"myth, legend"
親指,おやゆび,thumb
進路,しんろ,"① route, course ② career, university choices, course (of future life)"
人命,じんめい,(human) life
図表,ずひょう,"chart, diagram, graph, figure"
水準,すいじゅん,"① level, standard ② water level"
水平,すいへい,"level, horizontality"
水面,すいめん,water's surface
水曜,すいよう,Wednesday
勢い,いきおい,"① force, vigor, vigour, energy, spirit, life ② influence, authority, power, might ③ impetus, momentum, course (of events) ④ naturally, necessarily"
正面,しょうめん,"front, frontage, facade, main"
線路,せんろ,"line, track, roadbed"
全集,ぜんしゅう,complete works
想,そう,"① conception, idea, thought ② samjna (perception)"
早速,さっそく,"at once, immediately, without delay, promptly"
体育,たいいく,"physical education, gymnastics, athletics"
対立,たいりつ,"confrontation, opposition, antagonism"
帯,おび,"① obi (kimono sash) ② paper wrapper on books, CDs, etc."
退院,たいいん,"leaving hospital, discharge from hospital"
大通り,おおどおり,main street
短期,たんき,short term
短所,たんしょ,"defect, demerit, weak point, disadvantage"
断定,だんてい,"conclusion, decision"
地帯,ちたい,"area, zone"
竹,たけ,① bamboo ② middle (of a three-tier ranking system)
直後,ちょくご,immediately following
直線,ちょくせん,straight line
直前,ちょくぜん,just before
追加,ついか,"addition, supplement, append (e.g. to a file), appendix"
通勤,つうきん,commuting to work
通行,つうこう,"passage, passing"
通用,つうよう,"① popular use, circulation ② to pass as"
通路,つうろ,"passage, pathway"
定員,ていいん,"fixed number of regular personnel, capacity (of boat, hall, aeroplane, airplane, etc.)"
定期,ていき,① fixed term ② fixed-term commutation pass ③ fixed-term deposit
的確,てきかく,"precise, accurate"
天然,てんねん,"① nature, spontaneity ② natural airhead"
点数,てんすう,"marks, points, score, runs, number of items, credits"
伝記,でんき,"biography, life story"
田植え,たうえ,rice planting
電球,でんきゅう,light bulb
電波,でんぱ,"electro-magnetic wave, radio wave"
電流,でんりゅう,electric current
登場,とうじょう,"① entry (on stage), appearance (on screen) ② entrance, introduction (into a market)"
都心,としん,"city centre (center) (esp. capital city), urban centre, heart of city a metropolis"
当日,とうじつ,"appointed day, very day"
当番,とうばん,being on duty
童話,どうわ,fairy-tale
内科,ないか,"① internal medicine, i.e. treatment by medical procedures rather than surgical procedures ② department of internal medicine (hospital, etc.)"
南米,なんべい,South America
日常,にちじょう,"ordinary, regular, everyday, usual"
能,のう,"① talent, gift, function ② noh (theatre)"
農村,のうそん,"agricultural community, farm village, rural"
農薬,のうやく,"agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical"
畑,はたけ,"① field (for fruits, vegetables, etc.), cultivated land, vegetable plot, kitchen garden, plantation ② field (of specialization), sphere, area"
発想,はっそう,"expression (e.g. in music), idea, conception"
半島,はんとう,peninsula
反,はん,"anti-, opposite, antithesis, antagonism"
番地,ばんち,"house number, address"
飛行,ひこう,aviation
筆記,ひっき,"(taking) notes, copying"
筆者,ひっしゃ,"writer (often in self-reference), author"
表紙,ひょうし,"front cover, binding"
負け,まけ,"defeat, loss, losing (a game)"
部品,ぶひん,"parts, accessories, components"
風船,ふうせん,"balloon (esp. small, toy variety)"
物語る,ものがたる,"to tell, to indicate"
分量,ぶんりょう,"amount, quantity"
平日,へいじつ,"① weekday, ordinary days (i.e. non-holiday) ② kanji radical 73"
放る,ほうる,"① to let go, to abandon, to leave undone ② to throw, to toss, to fling"
方面,ほうめん,"① direction, district, area ② field (e.g. of study)"
防止,ぼうし,"prevention, check"
防犯,ぼうはん,prevention of crime
本部,ほんぶ,"headquarters, head office, main office"
満員,まんいん,"full house, no vacancy, sold out, standing room only, full (of people), crowded"
無数,むすう,"countless number, infinite number"
名所,めいしょ,"① famous place ② name of a part (of an instrument, etc.) ③ name and address"
名物,めいぶつ,"famous product, special product, speciality, specialty"
明け方,あけがた,dawn
目次,もくじ,table of contents
夜間,やかん,"at night, nighttime"
役者,やくしゃ,"actor, actress"
役所,やくしょ,"government office, public office"
役人,やくにん,government official
役目,やくめ,"duty, business, role"
薬局,やっきょく,"pharmacy, chemist (shop), drugstore"
薬品,やくひん,"medicine, chemicals"
油断,ゆだん,"negligence, unpreparedness"
有無,うむ,"① existence or nonexistence, presence or absence ② consent or refusal, yes or no ③ flag indicator, presence or absence marker"
予防,よぼう,"prevention, precaution, protection against"
用語,ようご,"term, terminology"
理科,りか,science
留守番,るすばん,"① care-taking, house-sitting, house-watching ② caretaker, house-sitter"
列島,れっとう,"archipelago, chain of islands"
録音,ろくおん,(audio) recording
和,わ,"① sum ② harmony, peace ③ Japanese-style"
等,とう,"① class, order, rank ② et cetera (etc.), and the like ③ equal"
両側,りょうがわ,both sides
温かい,あたたかい,"warm, mild, genial"
温める,あたためる,"to warm, to heat"
当てはめる,あてはめる,"to apply, to adapt"
植木,うえき,"garden shrubs, trees, potted plant"
係わる,かかわる,"① to be affected, to be influenced ② to be concerned with, to have to do with ③ to stick to (opinions)"
区切る,くぎる,"to demarcate, to delimit, to to divide (an area), to mark off, to cut off"
退く,どく,"① to step aside, to move (i.e. out of the way), to make way ② to resign, to retire, to quit, to secede"
先頭,せんとう,"head, lead, vanguard, first"
ため息,ためいき,sigh
中身,なかみ,"contents, interior, substance, filling, (sword) blade"
話し合い,はなしあい,"discussion, conference"
反映,はんえい,"① influence ② to apply, to implement ③ reflection"
混ざる,まざる,"to be mixed (colours, liquids, odours...), to be blended with, to associate with, to mingle with, to join"
混じる,まじる,"to be mixed, to be blended with, to associate with, to mingle with, to interest, to join"
集まり,あつまり,"gathering, meeting, assembly, collection"
都,と,"metropolitan, municipal"
集,しゅう,"collection, compilation"
移す,うつす,"① to change, to swap, to substitute, to transfer ② to change the object of one's interest or focus ③ to spend or take time ④ to infect ⑤ to permeate something with the smell or colour of something ⑥ to move on to the next or different stage of (a plan, etc.)"
移転,いてん,"moving, transfer, demise"
医療,いりょう,"medical care, medical treatment"
育児,いくじ,"childcare, nursing, upbringing"
運河,うんが,"canal, waterway"
園芸,えんげい,"horticulture, gardening"
延長,えんちょう,"① extension, elongation, prolongation, lengthening ② Enchou era (923.4.11-931.4.26)"
下降,かこう,"downward, descent, fall, drop, subsidence"
加熱,かねつ,heating
可,か,"passable, acceptable, tolerable, fair"
可決,かけつ,"approval, adoption (e.g. motion, bill), passage"
課税,かぜい,taxation
課程,かてい,"course, curriculum"
貨物,かもつ,"① cargo, freight ② money or assets"
過程,かてい,process
過半数,かはんすう,majority
解く,ほどく,"to unfasten, to untie, to unwrap (e.g. parcel)"
解説,かいせつ,"explanation, commentary, exposition, elucidation"
解答,かいとう,"answer, solution"
解放,かいほう,"① release, unleashing, liberation, emancipation, setting free ② deallocation (of computer memory)"
改めて,あらためて,"another time, again, over again, anew, formally"
改める,あらためる,"① to change, to alter, to revise, to replace ② to reform, to correct, to mend, to improve ③ to examine, to check, to inspect ④ to do properly, to do formally"
改札,かいさつ,"① examination of tickets ② ticket gate, ticket barrier"
改正,かいせい,"revision, amendment, alteration"
改造,かいぞう,"① remodeling, remodelling, restructuring ② modding"
灰,はい,"ash, ashes"
灰色,はいいろ,"grey, gray, ashen"
各自,かくじ,"individual, each"
各地,かくち,"every place, various places"
格別,かくべつ,exceptional
覚ます,さます,① to awaken ② to disabuse ③ to sober up
官庁,かんちょう,"government office, authorities"
缶詰,かんづめ,"packing (in cans), canning, canned goods, tin can"
観測,かんそく,observation
関西,かんさい,"Kansai (south-western half of Japan, including Osaka)"
関東,かんとう,"Kantou (eastern half of Japan, including Tokyo)"
含める,ふくめる,"to include, to instruct, to make one understand, to put in one's mouth"
危うい,あやうい,"① dangerous, risky, hazardous, perilous, precarious ② in danger, in jeopardy, critical, grave, at risk ③ uncertain, unreliable, insecure, unsteady, doubtful ④ close (i.e. a close call), narrow"
寄せる,よせる,"① to come near, to let someone approach ② to collect, to gather, to receive ③ to add ④ to put aside"
幾,いく,"① some, several ② many ③ how many?, how much?"
期限,きげん,"① term, period, time frame ② time limit, deadline, cutoff (date)"
機関,きかん,"① engine ② agency, organisation, organization, institution, organ ③ system, facility, facilities"
気圧,きあつ,atmospheric pressure
規律,きりつ,"① order, observance, discipline ② rules, law, regulations"
起床,きしょう,"rising, getting out of bed"
議員,ぎいん,"member of the Diet, congress or parliament"
詰まる,つまる,"① to be blocked, to be packed ② to hit the ball near the handle of the bat (baseball)"
客席,きゃくせき,guest seating
給与,きゅうよ,"pay, salary, wages, allowance, grant, supply"
漁業,ぎょぎょう,fishing (industry)
漁師,りょうし,fisherman
競馬,けいば,horse racing
境,さかい,"border, boundary, mental state"
境界,きょうかい,boundary
極力,きょくりょく,"to the utmost, to the best of one's ability"
務める,つとめる,"① to work (for), to be employed (at), to serve (in) ② to serve (as), to act (as), to fill (the position of), to play the role (of) ③ to conduct a religious service"
近寄る,ちかよる,"to approach, to draw near"
区域,くいき,"① limits, boundary, domain, zone, sphere, territory ② area (e.g. in programming languages)"
群れ,むれ,"group, crowd, flock, herd, bevy, school, swarm, cluster (of stars), clump"
形容詞,けいようし,"(true) adjective, i-adjective"
敬語,けいご,"honorific, term of respect"
警備,けいび,"defense, defence, guard, policing, security"
芸能,げいのう,"public entertainment, accomplishments, attainments"
血圧,けつあつ,blood pressure
血液,けつえき,blood
月給,げっきゅう,monthly salary
月末,げつまつ,end of the month
県庁,けんちょう,prefectural office
見舞う,みまう,"to ask after (health), to visit"
軒,のき,① eaves ② narrow aisle surrounding the core of a temple building
現す,あらわす,"① to reveal, to show, to display ② to express ③ to represent, to signify, to stand for ④ to make widely known"
現に,げんに,"actually, really"
限度,げんど,"limit, bounds"
個体,こたい,an individual
固まる,かたまる,"① to harden, to solidify ② to become firm, to become certain ③ to gather (together), to assemble, to huddle together"
交差,こうさ,"① crossing, intersection ② (genetic) crossing over"
候補,こうほ,"① candidate, contender, prospect, pick, choice, list ② candidacy, candidature, nomination"
公害,こうがい,"pollution, public nuisance, contamination"
公共,こうきょう,"public, community, public service, society, communal"
公務,こうむ,"official business, public business"
効力,こうりょく,"effect, efficacy, validity, potency"
工芸,こうげい,industrial arts
工夫,くふう,"① scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously ② dedication to spiritual improvement (esp. through Zen meditation)"
構造,こうぞう,"structure, construction"
肯定,こうてい,"positive, affirmation"
荒い,あらい,"rough, rude, wild"
講師,こうし,lecturer
鉱物,こうぶつ,mineral
香水,こうすい,perfume
高層,こうそう,"multistory, multistoried, high-rise, high, tall"
国籍,こくせき,nationality
再,さい,"re-, again, repeated"
再三,さいさん,"again and again, repeatedly"
採点,さいてん,"marking, grading, looking over"
在学,ざいがく,(enrolled) in school
作法,さほう,"manners, etiquette, propriety"
雑音,ざつおん,"noise (jarring, grating)"
散らす,ちらす,"to scatter, to disperse, to distribute"
散る,ちる,"① to fall (e.g. blossoms, leaves) ② to scatter, to be dispersed ③ to disappear, to dissolve, to break up ④ to spread, to run, to blur ⑤ to die a noble death"
産地,さんち,producing area
刺身,さしみ,sashimi (sliced raw fish)
子孫,しそん,"descendants, posterity, offspring"
思い込む,おもいこむ,"to be under impression that, to be convinced that, to imagine that, to set one's heart on, to be bent on"
脂,あぶら,"fat, tallow, lard, grease"
資本,しほん,"funds, capital"
児童,じどう,"children, juvenile"
自治,じち,"self-government, autonomy"
自宅,じたく,one's home
湿る,しめる,"to be wet, to become wet, to be damp"
湿度,しつど,level of humidity
実績,じっせき,"achievements, actual results"
社説,しゃせつ,"editorial, leading article"
車輪,しゃりん,(car) wheel
終了,しゅうりょう,"end, close, termination"
祝日,しゅくじつ,national holiday
初歩,しょほ,"elements, rudiments, ABCs of ..."
書籍,しょせき,"book, publication"
勝敗,しょうはい,"victory or defeat, issue (of battle), outcome"
床屋,とこや,"barbershop, barber"
承る,うけたまわる,"① to hear, to be told, to know ② to receive (order), to undertake, to comply, to take (a reservation, etc.)"
消毒,しょうどく,"disinfection, sterilization, sterilisation"
省略,しょうりゃく,"omission, abbreviation, abridgment, abridgement"
賞金,しょうきん,"prize, monetary award"
賞品,しょうひん,"prize, trophy"
蒸気,じょうき,"steam, vapour, vapor"
職人,しょくにん,"worker, mechanic, artisan, craftsman"
延びる,のびる,"① to stretch, to extend, to lengthen, to spread ② to make progress, to grow (beard, body height) ③ to grow stale (soba) ④ to be straightened, to be flattened, to be smoothed ⑤ to be exhausted ⑥ to be postponed, to be prolonged"
心得る,こころえる,"to be informed, to have thorough knowledge"
真似る,まねる,"to mimic, to imitate"
制作,せいさく,"work (film, book)"
姓,せい,"① surname, family name ② hereditary title (used in ancient Japan to denote rank and political standing)"
性能,せいのう,"ability, performance, efficiency"
性別,せいべつ,"distinction by sex, sex, gender"
成分,せいぶん,"ingredient, component, composition"
成立,せいりつ,"① coming into existence, arrangements, establishment, conclusion, completion ② to come into existence, to be true, to hold (i.e. hold true)"
政党,せいとう,political party
清掃,せいそう,cleaning
生存,せいぞん,"① existence, being, survival ② to exist, to live, to survive"
税関,ぜいかん,customs house
接近,せっきん,"getting closer, drawing nearer, approaching"
接続,せつぞく,"① connection, attachment, union, join, joint, link ② changing trains ③ conjunction"
先祖,せんぞ,ancestor
先程,さきほど,some time ago
占う,うらなう,"to tell someone's fortune, to forecast, to predict, to divine"
泉,いずみ,"spring, fountain"
浅い,あさい,"shallow, superficial"
祖先,そせん,ancestor
争う,あらそう,"① to compete, to contest, to contend ② to quarrel, to argue, to dispute, to be at variance, to oppose ③ (usu. in negative form) to deny (e.g. evidence)"
相違,そうい,"difference, discrepancy, variation"
窓口,まどぐち,"① ticket window, teller window, counter ② contact person, point of contact"
増減,ぞうげん,"increase and decrease, fluctuation"
増大,ぞうだい,"enlargement, increase"
束,たば,"bundle, bunch, sheaf"
測定,そくてい,measurement
測量,そくりょう,"measurement, surveying"
体制,たいせい,"order, system, structure, set-up, organization, organisation"
対照,たいしょう,"contrast, antithesis, comparison"
代名詞,だいめいし,"① pronoun ② synonym, classic example, pattern, byword, representative"
大戦,たいせん,"great war, great battle"
宅,たく,"house, home, husband"
担ぐ,かつぐ,"① to shoulder, to carry on one's shoulder ② to take (someone) for a ride, to deceive, to take in"
探る,さぐる,"to search, to look for, to sound out"
団地,だんち,multi-unit apartments
段階,だんかい,"gradation, grade, stage, steps, order, class, phase"
着替え,きがえ,"changing clothes, change of clothes"
着替える,きがえる,to change one's clothes
中絶,ちゅうぜつ,"① abortion ② to have an abortion ③ interruption, discontinuance, suspension, abeyance"
中途,ちゅうと,"in the middle, half-way"
昼寝,ひるね,"nap (afternoon), siesta"
貯蔵,ちょぞう,"storage, preservation"
超過,ちょうか,"excess, being more than"
頂点,ちょうてん,"top, summit"
通貨,つうか,currency
通信,つうしん,"correspondence, communication, transmission, news, signal"
停止,ていし,"suspension, interruption, stoppage, ban, standstill, halt, hang-up, deadlock, stalemate, abeyance"
停車,ていしゃ,stopping (e.g. train)
停電,ていでん,"power outage, electricity outage, blackout, failure of electricity supply"
盗難,とうなん,"theft, robbery"
灯油,とうゆ,"lamp oil, kerosene"
頭脳,ずのう,"head, brains, intellect"
突き,つき,"a thrust, a pass, a lunge, a stab"
突く,つく,"① to prick, to stab ② to poke, to prod, to push, to thrust, to nudge, to hit, to strike ③ to use (a cane), to prop oneself up with, to press against (the floor, etc.) ④ to attack ⑤ to brave (the rain, etc.)"
日程,にってい,"schedule, program, programme, agenda"
熱帯,ねったい,tropics
濃度,のうど,"① concentration, thickness, density ② cardinality"
農産物,のうさんぶつ,agricultural produce
破れる,やぶれる,"to get torn, to wear out"
拝見,はいけん,"seeing, look at"
背負う,せおう,"to be burdened with, to carry on back or shoulder"
薄暗い,うすぐらい,"dim, gloomy"
判事,はんじ,"judge, judiciary"
反省,はんせい,"reflection, reconsideration, introspection, meditation, contemplation"
革,かわ,leather
美容,びよう,beauty of figure or form
不可,ふか,"wrong, bad, improper, unjustifiable, inadvisable"
付近,ふきん,"neighbourhood, neighborhood, vicinity, environs"
浮く,うく,① to float ② to become merry ③ to become loose
武道,ぶどう,"martial arts, military arts, Bushido"
副,ふく,"① assistant, associate, vice-, sub-, deputy, substitute, auxiliary, supplementary, additional, collateral ② duplicate, copy"
複数,ふくすう,"several, plural, plurality, multiple"
仏,ほとけ,"① Buddha, merciful person, Buddhist image ② the dead"
分解,ぶんかい,"① disassembly, dismantling, disaggregating, analysis, disintegrating, decomposing, degrading ② factorization ③ decomposition, resolution ④ deblocking"
分布,ぶんぷ,"distribution, dissemination, allocation"
文芸,ぶんげい,"literature, art and literature, belles-lettres"
並行,へいこう,"(going) side by side, concurrent, abreast, at the same time, occurring together, parallel, parallelism"
閉会,へいかい,"closure (of a ceremony, event, meeting, etc.)"
片道,かたみち,one-way (trip)
編,へん,"① compilation (of a text), editing ② volume (of a text) ③ completed literary work"
捕る,とる,"to take, to catch (fish), to capture"
補う,おぎなう,"to compensate for, to supplement"
募集,ぼしゅう,"recruiting, taking applications"
包装,ほうそう,"packing, wrapping"
報,ほう,"information, news, report"
方程式,ほうていしき,"equation, formula"
暴れる,あばれる,"to act violently, to rage, to struggle, to be riotous"
枚数,まいすう,① the number of flat things ② win-loss difference which influences the ranking of sumo wrestlers
未,み,"not yet, un-"
民間,みんかん,"private, civilian, civil, popular, folk, unofficial"
亡くす,なくす,"① to lose something ② to get rid of ③ to lose someone (wife, child, etc.)"
無限,むげん,infinite
名刺,めいし,business card
名詞,めいし,noun
面積,めんせき,area
木材,もくざい,"lumber, timber, wood"
目印,めじるし,"mark, sign, landmark"
輸送,ゆそう,"transport, transportation"
夕刊,ゆうかん,evening paper
予備,よび,"preparation, preliminaries, reserve, spare"
予報,よほう,"forecast, prediction"
溶かす,とかす,"to melt, to dissolve"
溶け込む,とけこむ,"① to melt into, to merge into ② to fit in, to adapt, to blend"
用途,ようと,"use, usefulness, utility, service"
頼もしい,たのもしい,"reliable, trustworthy, hopeful, promising"
乱暴,らんぼう,"rude, violent, rough, lawless, unreasonable, reckless"
利害,りがい,"advantages and disadvantages, interest"
略す,りゃくす,"① to abbreviate, to omit ② to take, to capture"
流域,りゅういき,(river) basin
粒,つぶ,"grain, bead"
冷める,さめる,"① to become cool, to come down (fever) ② to cool down (interest), to abate, to subside, to dampen"
冷やす,ひやす,"to cool, to chill, to refrigerate"
冷凍,れいとう,"freezing, cold storage, refrigeration"
連合,れんごう,"① union, alliance, combination ② RENGO (Japanese Trade Union Confederation)"
湾,わん,"bay, gulf, inlet"
傾く,かたむく,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to, to go down (sun), to wane, to sink, to decline"
紅葉,こうよう,"① autumn colours, fall colors, leaves changing color (colour) ② leaves turning red, red leaves ③ leaves turning yellow, yellow leaves ④ (Japanese) maple (Acer japonicum)"
足跡,あしあと,footprints
代替,だいたい,"① change of ownership, substitution, subrogation, alternation ② alternative, substitute"
値,ね,"① price, cost ② value, worth, merit ③ variable (computer programming, programing) ④ value, count, number ⑤ to have value, to have merit"
銅,どう,copper
抱く,だく,"① to embrace, to hold in the arms (e.g. a baby), to hug ② to harbour (e.g. grudge) (harbor), to bear (e.g. a grudge), to entertain (e.g. suspicion) ③ to sleep with ④ to sit on eggs"
浴衣,ゆかた,yukata (light cotton kimono worn in the summer or used as a bathrobe)
押さえる,おさえる,"① to pin something down, to hold something down, to hold something back, to stop, to restrain, to curb ② to seize, to grasp, to arrest ③ to gain control of something, to govern, to keep down (e.g. information), to suppress ④ to catch happening, to determine (important points), to find (proof), to understand"
換える,かえる,"① to replace ② to exchange, to interchange ③ to substitute"
個所,かしょ,"passage, place, point, part"
共同,きょうどう,"doing together (as equals), sharing, common (land, etc.), joint (statement, etc.), cooperation, co-operation, collaboration, association"
組み合わせ,くみあわせ,combination
超える,こえる,"① to cross over, to cross, to pass through, to pass over (out of) ② to exceed"
住居,じゅうきょ,"dwelling, house, residence, address"
すれ違う,すれちがう,"to pass by one another, to disagree, to miss each other"
相互,そうご,"mutual, reciprocal"
各々,おのおの,"each, every, either, respectively, severally"
続々,ぞくぞく,"successively, one after another"
炭鉱,たんこう,"coal mine, coal pit"
短編,たんぺん,"short (e.g. story, film)"
造る,つくる,"① to make, to produce, to manufacture, to build, to construct ② to prepare (food), to brew (alcohol) ③ to raise, to grow, to cultivate, to train ④ to till ⑤ to draw up (a document), to make out, to prepare, to write ⑥ to create (an artistic work, etc.), to compose ⑦ to coin (a phrase), to organize, to organise, to establish, to found ⑧ to have (a child) ⑨ to make up (one's face, etc.) ⑩ to fabricate (an excuse, etc.) ⑪ to form (a line, etc.) ⑫ to set (a record) ⑬ to commit (a sin, etc.)"
出掛ける,でかける,"to depart, to go out (e.g. on an excursion or outing), to set out, to start, to be going out"
採る,とる,"① to adopt (measure, proposal) ② to pick (fruit), to catch (insects), to take (e.g. a sample) ③ to assume (attitude) ④ to take on (i.e. hire), to engage"
治す,なおす,"① to cure, to heal ② to fix, to correct, to repair ③ to do over again (after -masu base of verb) ④ to replace, to put back as it was ⑤ to convert (into a different state), to transform"
延ばす,のばす,to postpone
乗り換え,のりかえ,"transfer (trains, buses, etc.)"
測る,はかる,"① to measure, to weigh, to survey, to time (sound, gauge, estimate) ② to conjecture, to infer, to surmise"
挟む,はさむ,"to interpose, to hold between, to insert"
果たして,はたして,"① as was expected, just as one thought, sure enough, as a result ② really? (in questions), ever?"
引っ越し,ひっこし,"moving (dwelling, office, etc.), changing residence"
増やす,ふやす,"to increase, to add to, to augment"
編集,へんしゅう,"editing, compilation, editorial (e.g. committee)"
干す,ほす,"① to air, to dry, to desiccate ② to drain (off) ③ to drink up ④ to deprive of a role, job, etc. (usu. in the passive)"
見慣れる,みなれる,"to become used to seeing, to be familiar with"
割引,わりびき,"discount, reduction, rebate, tenths discounted"
欧米,おうべい,"Europe and America, the West"
水産,すいさん,"marine products, fisheries"
段,だん,"① step, stair, (flight of) steps, (row of) stitches, columns (of print) ② grade, rank, level ③ counter for breaks in written language (or speech, etc.)"
団,だん,"body, group, party, company, troupe"
隻,せき,counter for ships
現,げん,"present, current"
位,い,"① place, rank ② decimal place ③ counter for ghosts"
戦,せん,"match, competition"
省,しょう,"① ministry, department ② province (of China) ③ saving, conserving"
領,りょう,territory of (country)
産,さん,"① (giving) birth, childbirth, delivery, confinement ② native of, product of ③ assets, property, fortune"
付,づけ,"dated (e.g. a letter), date of effect (e.g. a rule change)"
済み,ずみ,"arranged, taken care of, settled, completed"
家,か,"-ist (used after a noun indicating someone's occupation, pursuits, disposition, etc.), -er"
哀れ,あわれ,"① pity, sorrow, grief, misery, compassion, pathos ② pitiable, pitiful, pathetic, miserable ③ alack, alas"
圧縮,あっしゅく,"compression, condensation, constriction, compaction"
案外,あんがい,unexpectedly
意義,いぎ,"meaning, significance"
為す,なす,"to do, to perform"
為替,かわせ,"① money order, draft ② exchange (e.g. foreign)"
一応,いちおう,"once, tentatively, in outline, for the time being, just in case"
衛星,えいせい,satellite
宴会,えんかい,"party, banquet"
艶,つや,"gloss, glaze"
凹む,へこむ,"① to be dented, to be indented, to yield to, to give, to sink, to collapse, to cave in ② to be snubbed, to be overwhelmed, to feel down, to be forced to yield"
往復,おうふく,"round trip, coming and going, return ticket"
応援,おうえん,"aid, assistance, help, reinforcement, rooting, barracking, support, cheering"
応対,おうたい,"receiving, dealing with"
応用,おうよう,"application, put to practical use"
恩,おん,"favour, favor, obligation, debt of gratitude"
恩恵,おんけい,"grace, favor, favour, blessing, benefit"
下旬,げじゅん,month (last third of)
仮定,かてい,"assumption, supposition, hypothesis"
嫁,よめ,"① wife, bride ② (one's) daughter-in-law"
架空,かくう,"aerial, overhead, fiction, fanciful"
花嫁,はなよめ,bride
過剰,かじょう,"excess, over-"
街角,まちかど,street corner
拡充,かくじゅう,expansion
拡張,かくちょう,"expansion, extension, enlargement, escape, ESC"
殻,から,"shell, husk, hull, pod, chaff"
確信,かくしん,"conviction, belief, confidence"
確率,かくりつ,"probability, likelihood, chances"
隔てる,へだてる,"to be shut out, to separate, to isolate"
学級,がっきゅう,(school) class
楽器,がっき,musical instrument
活躍,かつやく,"① activity (esp. energetic), great efforts, conspicuous service ② to flourish, to participate actively, to play an active role"
勘,かん,"perception, intuition, the sixth sense"
勘違い,かんちがい,"misunderstanding, wrong guess"
感激,かんげき,"deep emotion, impression, inspiration"
